ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,FLAG_UNEMPLOYED,YEARS_EMPLOYED,STATUS_TARGET
5009731,F,N,Y,1,394800.0,Working,Secondary / secondary special,Married,House / apartment,-24185,-12238,1,1,0,0,Sales staff,3,66.21,0,33.51,0
5009732,F,N,Y,0,539000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-16627,365243,1,1,0,0,Unknown,1,45.52,1,0.0,0
5009733,M,N,N,0,101500.0,Working,Secondary / secondary special,Separated,House / apartment,-12412,-4341,1,0,0,0,Cleaning staff,1,33.98,0,11.89,0
5009734,M,Y,N,0,383900.0,Pensioner,Higher education,Married,House / apartment,-14333,365243,1,0,1,0,Unknown,2,39.24,1,0.0,0
5009735,F,Y,Y,0,329800.0,Working,Secondary / secondary special,Married,House / apartment,-11301,-3733,1,0,0,0,Unknown,2,30.94,0,10.22,0
5009736,F,Y,Y,1,156800.0,Working,Secondary / secondary special,Married,House / apartment,-11322,-4314,1,0,0,0,Laborers,3,31.0,0,11.81,0
5009737,F,N,N,0,276900.0,State servant,Secondary / secondary special,Widow,House / apartment,-15896,-8331,1,1,0,0,Accountants,1,43.52,0,22.81,0
5009738,M,Y,Y,0,412900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-23606,-733,1,0,0,0,Laborers,2,64.63,0,2.01,0
5009739,M,N,Y,0,161300.0,Commercial associate,Higher education,Married,House / apartment,-10809,-4126,1,1,0,0,Unknown,2,29.59,0,11.3,0
5009740,M,N,N,0,304600.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-12562,365243,1,0,0,0,Unknown,2,34.39,1,0.0,0
5009741,F,Y,Y,0,377400.0,Working,Lower secondary,Married,House / apartment,-22883,-4976,1,0,0,1,Unknown,2,62.65,0,13.62,0
5009742,M,Y,Y,0,142900.0,Commercial associate,Higher education,Married,House / apartment,-13501,-276,1,0,0,0,Drivers,2,36.96,0,0.76,0
5009743,F,Y,Y,1,227400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24881,365243,1,0,0,0,Unknown,3,68.12,1,0.0,1
5009744,M,N,Y,0,283800.0,State servant,Higher education,Married,House / apartment,-12216,-1339,1,0,0,0,Drivers,2,33.45,0,3.67,0
5009745,F,Y,Y,0,164000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15380,-2200,1,0,0,0,Laborers,2,42.11,0,6.02,0
5009746,F,Y,Y,0,157300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9051,-1365,1,0,0,0,Unknown,2,24.78,0,3.74,0
5009747,F,N,Y,0,228200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-25425,-7724,1,0,1,0,Laborers,2,69.61,0,21.15,0
5009748,M,N,Y,0,364500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23561,-16216,1,0,0,0,Unknown,2,64.51,0,44.4,0
5009749,M,Y,Y,0,336800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22236,-24,1,0,1,0,Unknown,2,60.88,0,0.07,0
5009750,M,Y,Y,0,158700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10178,365243,1,1,1,0,Unknown,2,27.87,1,0.0,0
5009751,F,Y,N,0,338300.0,Working,Secondary / secondary special,Married,House / apartment,-25008,-3829,1,1,1,0,High skill tech staff,2,68.47,0,10.48,0
5009752,F,N,Y,0,160700.0,Working,Secondary / secondary special,Married,House / apartment,-24274,-11429,1,0,0,0,Managers,2,66.46,0,31.29,0
5009753,F,N,N,1,109100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15261,-7954,1,0,0,0,Medicine staff,3,41.78,0,21.78,1
5009754,F,Y,Y,2,203200.0,State servant,Higher education,Married,House / apartment,-19753,-5526,1,0,0,0,Unknown,4,54.08,0,15.13,0
5009755,F,Y,N,0,428000.0,Working,Secondary / secondary special,Married,House / apartment,-25430,-10216,1,0,1,0,Drivers,2,69.62,0,27.97,0
5009756,M,N,Y,0,338900.0,State servant,Secondary / secondary special,Married,House / apartment,-14788,-7065,1,0,0,0,Drivers,2,40.49,0,19.34,0
5009757,F,N,Y,0,243900.0,State servant,Secondary / secondary special,Married,House / apartment,-9369,-1911,1,0,0,0,Unknown,2,25.65,0,5.23,0
5009758,F,Y,N,0,198200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23153,365243,1,0,0,0,Unknown,2,63.39,1,0.0,0
5009759,F,N,N,1,200900.0,Pensioner,Incomplete higher,Married,House / apartment,-16007,365243,1,0,0,0,Unknown,3,43.82,1,0.0,0
5009760,F,Y,Y,1,257800.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-25330,365243,1,0,1,0,Unknown,2,69.35,1,0.0,0
5009761,M,Y,N,0,143100.0,Pensioner,Higher education,Single / not married,Office apartment,-17366,365243,1,0,0,0,Unknown,1,47.55,1,0.0,0
5009762,M,N,Y,0,205100.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-7843,-583,1,1,0,0,Unknown,1,21.47,0,1.6,0
5009763,F,N,N,0,219200.0,Working,Higher education,Married,House / apartment,-16285,-121,1,0,0,0,Laborers,2,44.59,0,0.33,0
5009764,M,N,Y,0,124200.0,Working,Higher education,Married,House / apartment,-20419,-1264,1,0,0,0,Unknown,2,55.9,0,3.46,0
5009765,F,N,Y,1,160500.0,Working,Higher education,Single / not married,House / apartment,-7780,-750,1,0,0,0,Sales staff,2,21.3,0,2.05,0
5009766,M,N,Y,0,299800.0,Working,Secondary / secondary special,Married,House / apartment,-14856,-2104,1,0,0,0,Unknown,2,40.67,0,5.76,0
5009767,F,N,Y,0,245300.0,Working,Secondary / secondary special,Married,House / apartment,-10146,-1481,1,0,1,0,Unknown,2,27.78,0,4.05,0
5009768,M,N,N,0,209200.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-19050,365243,1,0,1,0,Unknown,1,52.16,1,0.0,1
5009769,F,N,Y,0,154800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-24789,-447,1,0,0,0,Unknown,2,67.87,0,1.22,1
5009770,F,N,Y,0,537100.0,Working,Secondary / secondary special,Married,House / apartment,-18711,-10675,1,0,1,0,Unknown,2,51.23,0,29.23,0
5009771,M,Y,Y,0,160600.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-19995,365243,1,0,0,0,Unknown,1,54.74,1,0.0,0
5009772,F,N,Y,0,276900.0,Working,Higher education,Single / not married,House / apartment,-14547,-804,1,0,0,0,High skill tech staff,1,39.83,0,2.2,0
5009773,F,N,Y,1,191300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17589,-5410,1,1,0,0,Drivers,2,48.16,0,14.81,0
5009774,F,N,Y,1,248600.0,Pensioner,Higher education,Married,House / apartment,-17237,365243,1,1,0,0,Unknown,3,47.19,1,0.0,0
5009775,F,Y,N,0,306900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-21177,-10267,1,1,0,0,High skill tech staff,2,57.98,0,28.11,0
5009776,F,N,Y,2,123000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-22954,-330,1,0,0,0,Unknown,3,62.84,0,0.9,0
5009777,M,N,Y,0,243300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19411,-11572,1,0,0,0,Unknown,2,53.14,0,31.68,1
5009778,M,Y,N,1,442800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-25199,-14861,1,0,0,0,Unknown,2,68.99,0,40.69,0
5009779,M,N,Y,1,589000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22432,365243,1,0,0,0,Unknown,3,61.42,1,0.0,0
5009780,F,Y,N,0,228800.0,Working,Higher education,Married,House / apartment,-9581,-2036,1,1,0,0,Unknown,2,26.23,0,5.57,0
5009781,M,Y,N,1,249300.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-16573,-7364,1,0,0,0,Unknown,2,45.37,0,20.16,0
5009782,F,N,Y,0,737600.0,Working,Higher education,Single / not married,House / apartment,-23800,-1553,1,0,0,0,Laborers,1,65.16,0,4.25,0
5009783,F,N,Y,0,430600.0,Commercial associate,Higher education,Married,House / apartment,-24544,-8318,1,0,1,0,Drivers,2,67.2,0,22.77,0
5009784,M,N,Y,0,179300.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-14249,365243,1,1,1,0,Unknown,1,39.01,1,0.0,0
5009785,F,Y,Y,1,179100.0,State servant,Higher education,Married,House / apartment,-20558,-8914,1,0,0,0,Laborers,3,56.28,0,24.41,0
5009786,M,N,N,1,393900.0,Working,Higher education,Married,House / apartment,-14803,-5878,1,1,0,0,Unknown,3,40.53,0,16.09,0
5009787,M,Y,Y,0,147300.0,Working,Higher education,Married,House / apartment,-9563,-1718,1,0,0,0,Managers,2,26.18,0,4.7,0
5009788,F,Y,Y,0,420600.0,Commercial associate,Higher education,Married,With parents,-23460,365243,1,1,1,0,Unknown,2,64.23,1,0.0,0
5009789,F,Y,Y,0,288500.0,Working,Higher education,Married,House / apartment,-24325,-8850,1,0,0,1,Core staff,2,66.6,0,24.23,0
5009790,F,N,Y,3,316300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16523,-8048,1,0,0,0,Unknown,4,45.24,0,22.03,0
5009791,F,N,Y,0,214700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-7639,365243,1,0,1,0,Unknown,2,20.91,1,0.0,0
5009792,M,N,N,1,178200.0,Commercial associate,Higher education,Married,House / apartment,-22208,-7604,1,0,0,0,Laborers,3,60.8,0,20.82,1
5009793,F,N,Y,0,507100.0,Working,Higher education,Widow,With parents,-16015,-4199,1,0,0,0,Managers,1,43.85,0,11.5,0
5009794,F,Y,Y,0,215800.0,Working,Secondary / secondary special,Married,Municipal apartment,-8675,365243,1,0,1,0,Unknown,2,23.75,1,0.0,0
5009795,F,N,Y,0,198800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10764,365243,1,1,1,1,Unknown,2,29.47,1,0.0,0
5009796,M,N,N,2,234500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-10083,-262,1,1,0,0,Sales staff,3,27.61,0,0.72,0
5009797,F,N,Y,0,268900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19838,-8303,1,0,1,0,Managers,2,54.31,0,22.73,0
5009798,F,Y,N,2,145800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12773,365243,1,0,0,0,Unknown,3,34.97,1,0.0,0
5009799,M,N,Y,0,184100.0,Working,Secondary / secondary special,Widow,With parents,-9637,-1955,1,0,0,0,Laborers,1,26.38,0,5.35,0
5009800,F,N,N,0,179200.0,Working,Higher education,Civil marriage,House / apartment,-24064,-1190,1,0,0,0,Sales staff,2,65.88,0,3.26,0
5009801,M,N,Y,1,372500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-24774,365243,1,0,0,0,Unknown,3,67.83,1,0.0,0
5009802,F,N,Y,1,156800.0,Working,Secondary / secondary special,Married,House / apartment,-9836,-946,1,0,0,0,Sales staff,3,26.93,0,2.59,0
5009803,F,Y,Y,2,101500.0,Commercial associate,Higher education,Married,House / apartment,-11510,-913,1,0,0,0,Unknown,4,31.51,0,2.5,0
5009804,M,N,Y,0,91300.0,Commercial associate,Higher education,Civil marriage,House / apartment,-18119,-1263,1,0,1,0,Unknown,2,49.61,0,3.46,0
5009805,F,Y,Y,0,117000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10054,-3069,1,0,0,0,Cooking staff,2,27.53,0,8.4,0
5009806,F,N,Y,0,482300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10201,-2501,1,0,0,0,Accountants,2,27.93,0,6.85,0
5009807,F,N,Y,0,246100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13452,-6346,1,0,0,0,Security staff,2,36.83,0,17.37,0
5009808,F,Y,Y,2,313700.0,Commercial associate,Higher education,Married,House / apartment,-24639,-1913,1,0,0,0,Laborers,4,67.46,0,5.24,0
5009809,F,N,N,0,319200.0,Working,Secondary / secondary special,Married,House / apartment,-24882,365243,1,0,0,1,Unknown,2,68.12,1,0.0,0
5009810,F,N,Y,0,251100.0,Working,Secondary / secondary special,Married,House / apartment,-22678,365243,1,1,0,0,Unknown,2,62.09,1,0.0,0
5009811,F,Y,N,0,235200.0,Commercial associate,Higher education,Single / not married,House / apartment,-20010,-12248,1,0,0,0,High skill tech staff,1,54.78,0,33.53,0
5009812,M,N,Y,0,411600.0,Working,Higher education,Married,House / apartment,-20466,-4143,1,0,0,0,Accountants,2,56.03,0,11.34,0
5009813,F,Y,Y,0,262600.0,Working,Secondary / secondary special,Married,House / apartment,-15881,-3812,1,0,1,0,Unknown,2,43.48,0,10.44,0
5009814,M,N,Y,0,491400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16987,-956,1,0,1,0,Managers,2,46.51,0,2.62,0
5009815,F,N,Y,0,333000.0,Working,Secondary / secondary special,Married,Municipal apartment,-18892,-7380,1,0,0,0,High skill tech staff,2,51.72,0,20.21,0
5009816,F,N,N,0,179300.0,State servant,Secondary / secondary special,Separated,House / apartment,-20660,-12712,1,0,0,0,Unknown,1,56.56,0,34.8,0
5009817,M,N,Y,3,190400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9074,-1258,1,0,0,0,Unknown,5,24.84,0,3.44,0
5009818,F,N,N,0,169700.0,Working,Secondary / secondary special,Separated,House / apartment,-11412,-2427,1,0,0,0,Medicine staff,1,31.24,0,6.64,0
5009819,F,N,N,0,448800.0,State servant,Secondary / secondary special,Married,House / apartment,-24891,-6652,1,0,0,0,Unknown,2,68.15,0,18.21,0
5009820,M,Y,Y,3,199400.0,Commercial associate,Secondary / secondary special,Married,With parents,-13426,-2687,1,0,1,0,Drivers,5,36.76,0,7.36,0
5009821,F,N,N,1,163800.0,Commercial associate,Higher education,Married,House / apartment,-12208,-2520,1,0,0,1,Managers,3,33.42,0,6.9,0
5009822,F,N,Y,3,286500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15010,-6977,1,0,1,0,Sales staff,5,41.1,0,19.1,0
5009823,M,Y,N,2,232600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12618,-1390,1,0,0,0,Managers,4,34.55,0,3.81,0
5009824,F,N,N,0,282900.0,Working,Incomplete higher,Single / not married,House / apartment,-8970,-2246,1,0,0,0,Sales staff,1,24.56,0,6.15,0
5009825,M,N,Y,0,628000.0,Working,Secondary / secondary special,Widow,House / apartment,-11103,-1396,1,0,1,0,Unknown,1,30.4,0,3.82,0
5009826,F,N,N,0,385400.0,Working,Higher education,Married,House / apartment,-18996,-4257,1,1,0,0,Unknown,2,52.01,0,11.66,0
5009827,F,Y,Y,0,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11381,-923,1,0,1,0,Core staff,2,31.16,0,2.53,0
5009828,F,Y,Y,1,120700.0,Working,Secondary / secondary special,Married,Rented apartment,-19133,-953,1,0,0,0,Drivers,3,52.38,0,2.61,0
5009829,F,Y,Y,0,190100.0,Working,Secondary / secondary special,Married,House / apartment,-9133,-1894,1,1,1,0,Sales staff,2,25.0,0,5.19,0
5009830,F,N,Y,1,348400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8070,365243,1,0,0,0,Unknown,3,22.09,1,0.0,0
5009831,F,Y,Y,1,135900.0,Working,Secondary / secondary special,Married,House / apartment,-23039,-12803,1,0,0,0,High skill tech staff,3,63.08,0,35.05,0
5009832,M,N,N,0,712100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21185,365243,1,0,0,0,Unknown,2,58.0,1,0.0,0
5009833,F,Y,Y,1,245900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19468,-698,1,0,0,0,Security staff,3,53.3,0,1.91,0
5009834,M,N,Y,0,250200.0,Working,Secondary / secondary special,Married,House / apartment,-7869,-832,1,1,0,0,Drivers,2,21.54,0,2.28,0
5009835,F,Y,Y,0,174900.0,Working,Secondary / secondary special,Married,House / apartment,-11676,-996,1,0,1,1,Unknown,2,31.97,0,2.73,0
5009836,M,N,Y,1,313000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22140,365243,1,0,0,0,Unknown,3,60.62,1,0.0,0
5009837,M,Y,N,0,136800.0,Working,Secondary / secondary special,Married,House / apartment,-9947,-1641,1,1,0,0,Accountants,2,27.23,0,4.49,0
5009838,M,N,N,1,720700.0,Commercial associate,Incomplete higher,Married,House / apartment,-22150,-13283,1,0,0,1,Unknown,3,60.64,0,36.37,0
5009839,F,Y,N,0,471700.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17975,-10552,1,0,1,0,Core staff,1,49.21,0,28.89,0
5009840,M,N,Y,0,399400.0,Working,Incomplete higher,Married,House / apartment,-20826,-113,1,1,1,0,Sales staff,2,57.02,0,0.31,0
5009841,F,N,Y,1,121800.0,Working,Secondary / secondary special,Married,House / apartment,-19075,-7340,1,0,0,1,Drivers,3,52.22,0,20.1,0
5009842,M,Y,N,0,270500.0,Working,Secondary / secondary special,Married,House / apartment,-14920,-5139,1,0,0,0,Drivers,2,40.85,0,14.07,0
5009843,M,N,N,0,446900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-12637,365243,1,0,1,0,Unknown,1,34.6,1,0.0,0
5009844,F,N,Y,0,328400.0,Pensioner,Higher education,Married,House / apartment,-19591,365243,1,0,0,1,Unknown,2,53.64,1,0.0,1
5009845,F,Y,Y,1,147900.0,State servant,Higher education,Married,House / apartment,-22041,-4544,1,0,0,0,Core staff,3,60.34,0,12.44,0
5009846,M,N,N,0,176400.0,Working,Higher education,Civil marriage,House / apartment,-8122,-322,1,0,0,0,Sales staff,2,22.24,0,0.88,0
5009847,F,Y,N,1,194800.0,Working,Secondary / secondary special,Married,House / apartment,-14243,-1849,1,0,0,0,Realty agents,3,39.0,0,5.06,0
5009848,F,N,Y,0,180500.0,Working,Higher education,Married,House / apartment,-13710,-2879,1,0,0,0,Laborers,2,37.54,0,7.88,0
5009849,F,N,N,0,524300.0,State servant,Secondary / secondary special,Separated,House / apartment,-17522,-9508,1,0,0,0,Laborers,1,47.97,0,26.03,0
5009850,M,Y,Y,2,93400.0,Working,Secondary / secondary special,Married,House / apartment,-9386,-533,1,0,0,0,Unknown,4,25.7,0,1.46,1
5009851,M,N,Y,0,338900.0,Working,Secondary / secondary special,Married,House / apartment,-24352,-9610,1,0,0,0,Unknown,2,66.67,0,26.31,0
5009852,F,N,Y,0,127900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17322,365243,1,0,0,0,Unknown,2,47.43,1,0.0,0
5009853,M,N,Y,1,151000.0,Working,Higher education,Married,House / apartment,-24175,-2918,1,0,0,0,Unknown,3,66.19,0,7.99,0
5009854,F,N,Y,1,89400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22224,-9388,1,0,0,0,Laborers,3,60.85,0,25.7,0
5009855,F,N,Y,0,185500.0,Working,Secondary / secondary special,Married,House / apartment,-10805,-3752,1,0,0,0,Unknown,2,29.58,0,10.27,0
5009856,F,N,Y,0,519600.0,Working,Secondary / secondary special,Married,House / apartment,-9722,-3114,1,0,0,0,Drivers,2,26.62,0,8.53,0
5009857,F,Y,N,1,278700.0,Pensioner,Incomplete higher,Married,House / apartment,-23034,365243,1,0,0,0,Unknown,3,63.06,1,0.0,0
5009858,F,N,N,1,134100.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17096,-5564,1,0,0,0,Core staff,2,46.81,0,15.23,0
5009859,F,N,Y,1,406000.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,-7666,-480,1,1,0,0,Laborers,2,20.99,0,1.31,0
5009860,F,N,Y,0,451900.0,Working,Secondary / secondary special,Married,House / apartment,-24366,-5466,1,0,1,0,HR staff,2,66.71,0,14.97,0
5009861,F,N,N,4,257200.0,Working,Higher education,Married,House / apartment,-15944,-2652,1,1,0,0,Laborers,6,43.65,0,7.26,0
5009862,F,N,Y,0,675300.0,Commercial associate,Incomplete higher,Married,House / apartment,-12801,-239,1,1,1,0,Sales staff,2,35.05,0,0.65,0
5009863,F,N,N,0,368200.0,Working,Secondary / secondary special,Married,House / apartment,-16739,-6396,1,0,0,0,Laborers,2,45.83,0,17.51,0
5009864,F,N,N,0,343400.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-22334,-11891,1,0,0,0,Unknown,1,61.15,0,32.56,0
5009865,F,Y,Y,0,163400.0,Working,Higher education,Widow,House / apartment,-9319,-2623,1,1,0,1,Accountants,1,25.51,0,7.18,0
5009866,F,N,N,0,334100.0,Pensioner,Incomplete higher,Married,With parents,-13860,365243,1,1,1,0,Unknown,2,37.95,1,0.0,0
5009867,F,N,N,0,272100.0,Working,Secondary / secondary special,Married,House / apartment,-13128,-5398,1,0,0,0,Laborers,2,35.94,0,14.78,0
5009868,F,Y,Y,0,316600.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22639,365243,1,0,0,0,Unknown,1,61.98,1,0.0,0
5009869,F,N,Y,0,173400.0,Working,Higher education,Single / not married,House / apartment,-21522,-9830,1,0,0,0,Core staff,1,58.92,0,26.91,0
5009870,M,N,Y,0,260300.0,Working,Secondary / secondary special,Married,House / apartment,-14612,-2222,1,0,0,1,Unknown,2,40.01,0,6.08,0
5009871,M,Y,Y,0,162300.0,State servant,Secondary / secondary special,Married,House / apartment,-19440,-4639,1,0,0,0,Core staff,2,53.22,0,12.7,0
5009872,F,Y,Y,0,83400.0,Working,Secondary / secondary special,Married,With parents,-14509,-4230,1,0,0,0,Unknown,2,39.72,0,11.58,1
5009873,M,Y,Y,0,402200.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17739,-5768,1,0,0,0,Sales staff,1,48.57,0,15.79,0
5009874,M,N,Y,0,115200.0,Working,Secondary / secondary special,Married,House / apartment,-25407,-7645,1,0,1,0,Accountants,2,69.56,0,20.93,0
5009875,M,Y,N,0,257600.0,Working,Lower secondary,Single / not married,House / apartment,-17086,-3646,1,0,0,1,Laborers,1,46.78,0,9.98,0
5009876,M,Y,Y,2,288400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-25359,-17689,1,0,0,0,Core staff,4,69.43,0,48.43,1
5009877,M,N,Y,1,287400.0,Working,Higher education,Separated,House / apartment,-20951,-4131,1,0,1,0,Laborers,2,57.36,0,11.31,0
5009878,F,Y,Y,1,211900.0,Commercial associate,Higher education,Married,House / apartment,-9510,-2862,1,0,0,0,Drivers,3,26.04,0,7.84,0
5009879,F,Y,Y,0,279600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21841,-2105,1,0,0,0,High skill tech staff,2,59.8,0,5.76,0
5009880,F,Y,Y,0,309000.0,Pensioner,Higher education,Married,House / apartment,-10250,365243,1,0,0,0,Unknown,2,28.06,1,0.0,0
5009881,F,N,Y,0,352500.0,Working,Secondary / secondary special,Married,Office apartment,-17027,-10076,1,0,0,0,Unknown,2,46.62,0,27.59,0
5009882,M,N,Y,1,580800.0,Working,Secondary / secondary special,Married,With parents,-18504,-11141,1,0,0,0,Unknown,3,50.66,0,30.5,0
5009883,F,Y,N,0,274500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23599,-13042,1,0,0,0,Laborers,2,64.61,0,35.71,0
5009884,F,N,N,0,252100.0,Working,Secondary / secondary special,Married,House / apartment,-11148,-903,1,0,0,0,Cleaning staff,2,30.52,0,2.47,0
5009885,M,N,Y,0,155100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23302,-7268,1,0,1,0,Sales staff,2,63.8,0,19.9,0
5009886,F,Y,Y,0,303600.0,Working,Secondary / secondary special,Married,House / apartment,-24371,-17323,1,1,1,0,Managers,2,66.72,0,47.43,0
5009887,F,Y,Y,3,340800.0,Working,Secondary / secondary special,Married,House / apartment,-8939,-453,1,0,1,0,High skill tech staff,5,24.47,0,1.24,0
5009888,F,Y,N,1,221800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23473,365243,1,0,1,0,Unknown,3,64.27,1,0.0,0
5009889,F,N,Y,1,320500.0,Pensioner,Incomplete higher,Married,House / apartment,-12038,365243,1,0,1,0,Unknown,3,32.96,1,0.0,0
5009890,F,N,N,0,210900.0,Commercial associate,Higher education,Married,House / apartment,-8784,-1981,1,0,0,0,Drivers,2,24.05,0,5.42,0
5009891,M,Y,Y,1,341500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24811,365243,1,0,0,1,Unknown,3,67.93,1,0.0,0
5009892,F,N,Y,0,385300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14468,-3675,1,1,0,0,Medicine staff,2,39.61,0,10.06,0
5009893,M,Y,Y,2,382600.0,Working,Secondary / secondary special,Married,House / apartment,-18682,-2520,1,0,0,0,Laborers,4,51.15,0,6.9,0
5009894,F,N,N,0,258900.0,State servant,Secondary / secondary special,Married,House / apartment,-17402,365243,1,0,0,0,Unknown,2,47.64,1,0.0,0
5009895,F,N,N,0,145100.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-11198,-3760,1,0,0,0,Sales staff,1,30.66,0,10.29,0
5009896,F,Y,Y,0,179800.0,Commercial associate,Higher education,Married,House / apartment,-19533,-7377,1,0,1,0,Managers,2,53.48,0,20.2,0
5009897,F,N,Y,0,328700.0,Working,Secondary / secondary special,Married,With parents,-8147,-808,1,0,0,0,Medicine staff,2,22.31,0,2.21,0
5009898,M,Y,Y,1,830600.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-11014,365243,1,0,0,0,Unknown,2,30.15,1,0.0,0
5009899,M,N,Y,2,205900.0,Working,Secondary / secondary special,Married,House / apartment,-24557,-8598,1,0,0,0,Managers,4,67.23,0,23.54,0
5009900,M,Y,N,0,306600.0,Working,Secondary / secondary special,Married,House / apartment,-24718,365243,1,0,0,1,Unknown,2,67.67,1,0.0,0
5009901,M,N,N,0,184900.0,Working,Higher education,Married,House / apartment,-16119,-5896,1,0,0,0,Drivers,2,44.13,0,16.14,0
5009902,F,Y,N,0,150000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10393,-3441,1,0,1,0,Unknown,1,28.45,0,9.42,1
5009903,F,N,N,1,174100.0,Working,Higher education,Single / not married,Municipal apartment,-15005,-4241,1,1,1,0,Unknown,2,41.08,0,11.61,0
5009904,M,Y,Y,0,86200.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23323,365243,1,0,0,0,Unknown,1,63.85,1,0.0,0
5009905,F,N,N,0,480300.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-8588,-696,1,0,1,0,Unknown,2,23.51,0,1.91,0
5009906,F,Y,N,0,80000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9640,-2139,1,0,0,0,Sales staff,1,26.39,0,5.86,0
5009907,F,N,Y,0,214000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-23662,365243,1,0,0,0,Unknown,2,64.78,1,0.0,0
5009908,F,Y,N,1,135500.0,Working,Higher education,Married,Municipal apartment,-14891,-6720,1,0,0,0,Accountants,3,40.77,0,18.4,0
5009909,M,Y,Y,0,156900.0,Working,Higher education,Married,House / apartment,-8829,-1681,1,1,1,0,Unknown,2,24.17,0,4.6,0
5009910,F,N,N,0,485900.0,Working,Higher education,Separated,House / apartment,-9847,-2757,1,0,0,0,Laborers,1,26.96,0,7.55,1
