ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5010249,M,N,N,2,342500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23024,-16309,1,1,1,0,,4.0
5010250,F,N,N,1,220600.0,Pensioner,Higher education,Married,House / apartment,-20806,365243,1,1,1,0,,3.0
5010251,F,N,Y,1,138900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14399,-7151,1,0,0,0,Sales staff,3.0
5010252,F,Y,Y,2,469000.0,Working,Secondary / secondary special,Married,House / apartment,-18801,-6917,1,0,1,0,,4.0
5010253,F,N,N,0,404300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10728,365243,1,0,1,0,,2.0
5010254,F,N,Y,1,216400.0,Working,Secondary / secondary special,Widow,House / apartment,-25301,-4414,1,0,0,0,Managers,2.0
5010255,F,N,Y,0,280000.0,Working,Secondary / secondary special,Married,House / apartment,-21844,-6754,1,0,0,0,,2.0
5010256,F,N,Y,0,454000.0,Working,Secondary / secondary special,Married,House / apartment,-21713,-7712,1,0,0,0,Drivers,2.0
5010257,F,Y,Y,1,372700.0,Working,Secondary / secondary special,Married,House / apartment,-10106,-678,1,0,0,0,,3.0
5010258,M,N,N,0,117500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-7629,-438,1,0,0,0,Sales staff,1.0
5010259,F,Y,Y,3,275800.0,Working,Higher education,Married,House / apartment,-17995,-10353,1,0,1,0,Accountants,5.0
5010260,F,N,Y,0,224500.0,Working,Secondary / secondary special,Married,House / apartment,-9937,-309,1,0,0,0,Laborers,2.0
5010261,F,N,Y,1,425900.0,Working,Secondary / secondary special,Widow,House / apartment,-21558,-8208,1,0,0,0,Core staff,2.0
5010262,M,Y,N,0,408800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14904,-8244,1,0,0,0,Private service staff,1.0
5010263,F,Y,N,0,472000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-13489,365243,1,0,0,0,,1.0
5010264,F,Y,Y,0,139600.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-8650,365243,1,0,0,1,,1.0
5010265,F,N,Y,1,165000.0,Pensioner,Higher education,Married,House / apartment,-25496,365243,1,0,1,0,,3.0
5010266,M,N,Y,0,426100.0,Working,Higher education,Single / not married,House / apartment,-24764,-16311,1,0,1,0,,1.0
5010267,F,Y,Y,0,181600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9708,-318,1,0,1,0,HR staff,2.0
5010268,F,N,Y,0,114100.0,Working,Secondary / secondary special,Single / not married,With parents,-13383,365243,1,1,0,0,,1.0
5010269,M,Y,Y,0,318600.0,Working,Secondary / secondary special,Married,House / apartment,-14442,-6052,1,0,1,0,High skill tech staff,2.0
5010270,F,N,Y,0,185700.0,Commercial associate,Incomplete higher,Married,House / apartment,-12725,-4844,1,0,0,1,Laborers,2.0
5010271,F,Y,Y,0,597400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-24371,-13347,1,0,0,0,Managers,2.0
5010272,F,N,Y,1,283100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20479,365243,1,0,0,0,,3.0
5010273,F,N,N,0,264500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-24762,-5708,1,0,0,0,Managers,2.0
5010274,F,N,Y,0,203000.0,Working,Secondary / secondary special,Married,House / apartment,-23276,-10378,1,0,0,0,,2.0
5010275,F,N,Y,0,540800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21085,365243,1,0,0,0,,2.0
5010276,F,N,N,0,292100.0,Commercial associate,Higher education,Married,House / apartment,-20033,-7644,1,1,0,0,Medicine staff,2.0
5010277,F,N,Y,0,199000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23123,365243,1,0,0,0,,2.0
5010278,M,N,N,1,164100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19799,365243,1,1,0,0,,3.0
5010279,F,N,Y,0,235300.0,Working,Secondary / secondary special,Married,House / apartment,-10751,-1156,1,0,0,0,Drivers,2.0
5010280,F,N,Y,0,149700.0,Working,Secondary / secondary special,Married,House / apartment,-19141,-12097,1,0,0,1,Laborers,2.0
5010281,F,Y,N,0,408400.0,Working,Secondary / secondary special,Married,House / apartment,-16710,-5267,1,0,0,0,,2.0
5010282,F,N,Y,0,98800.0,Working,Higher education,Single / not married,House / apartment,-25237,-550,1,1,0,0,Laborers,1.0
5010283,F,Y,N,0,227700.0,Working,Secondary / secondary special,Married,House / apartment,-16618,-4782,1,0,1,0,Medicine staff,2.0
5010284,F,N,Y,0,331200.0,Working,Secondary / secondary special,Married,House / apartment,-8007,-8,1,1,0,0,Core staff,2.0
5010285,M,N,Y,1,289700.0,Pensioner,Higher education,Married,House / apartment,-12130,365243,1,0,0,0,,3.0
5010286,F,N,Y,0,170600.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-24059,365243,1,1,0,0,,1.0
5010287,M,Y,Y,0,339600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-24880,-10891,1,0,0,0,Managers,2.0
5010288,M,Y,Y,0,156800.0,Working,Secondary / secondary special,Married,House / apartment,-20609,-4877,1,0,0,1,,2.0
5010289,F,N,Y,0,241400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8343,-751,1,1,1,0,,2.0
5010290,F,N,Y,2,338200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7735,-620,1,1,0,0,High skill tech staff,4.0
5010291,F,Y,Y,0,307700.0,Working,Secondary / secondary special,Married,House / apartment,-16064,-9321,1,1,0,0,,2.0
5010292,F,N,N,3,174200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-25562,365243,1,0,1,0,,5.0
5010293,F,N,Y,0,444300.0,Pensioner,Secondary / secondary special,Widow,With parents,-23181,365243,1,1,0,0,,1.0
5010294,M,N,N,0,254900.0,Working,Higher education,Civil marriage,House / apartment,-24346,-1893,1,0,1,0,Medicine staff,2.0
5010295,F,Y,Y,0,354000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18692,-1740,1,1,0,0,,2.0
5010296,M,N,Y,0,524400.0,Working,Higher education,Married,House / apartment,-22995,-8229,1,0,1,0,Accountants,2.0
5010297,M,Y,N,0,426900.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-13143,-989,1,1,0,0,Laborers,2.0
5010298,F,N,Y,0,427400.0,Working,Secondary / secondary special,Married,House / apartment,-7805,-1198,1,0,0,0,Core staff,2.0
5010299,F,Y,Y,0,268800.0,Working,Secondary / secondary special,Married,House / apartment,-24075,-16843,1,0,1,0,Laborers,2.0
5010300,F,Y,Y,0,363100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11294,-169,1,0,0,0,Core staff,2.0
5010301,F,Y,Y,0,271600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20609,-9828,1,0,0,0,Managers,2.0
5010302,F,Y,Y,0,133400.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-19339,-4645,1,0,0,0,Laborers,2.0
5010303,F,N,N,1,284000.0,Working,Secondary / secondary special,Married,House / apartment,-10193,-2543,1,0,0,0,Laborers,3.0
5010304,F,Y,Y,0,277500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10880,-356,1,0,0,0,,2.0
5010305,F,Y,N,1,326900.0,Pensioner,Higher education,Single / not married,House / apartment,-13315,365243,1,1,1,0,,2.0
5010306,M,N,Y,0,229000.0,State servant,Higher education,Married,House / apartment,-21128,-6938,1,0,0,0,,2.0
5010307,M,Y,Y,0,166800.0,Pensioner,Higher education,Civil marriage,House / apartment,-8022,365243,1,0,0,0,,2.0
5010308,F,Y,Y,0,339000.0,Pensioner,Lower secondary,Married,House / apartment,-14739,365243,1,0,1,0,,2.0
5010309,F,N,N,0,126600.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19452,-6548,1,1,0,0,Drivers,1.0
5010310,F,N,N,0,506300.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-10436,-794,1,0,0,0,Laborers,1.0
5010311,F,N,Y,0,217500.0,Working,Secondary / secondary special,Married,House / apartment,-9486,-552,1,1,0,0,Sales staff,2.0
5010312,F,N,Y,0,276000.0,Working,Higher education,Married,House / apartment,-14431,-2937,1,0,0,0,Sales staff,2.0
5010313,F,N,Y,0,322800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12538,365243,1,0,0,0,,2.0
5010314,F,Y,Y,1,328000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19159,365243,1,1,0,1,,3.0
5010315,F,N,Y,0,120700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-25012,-10372,1,0,1,0,Cooking staff,2.0
5010316,F,N,N,0,368600.0,Working,Secondary / secondary special,Married,House / apartment,-7387,-355,1,0,0,1,Medicine staff,2.0
5010317,M,N,Y,0,284100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23785,-170,1,0,0,0,Medicine staff,1.0
5010318,M,N,N,1,177700.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15217,-5818,1,1,0,0,Sales staff,3.0
5010319,M,Y,Y,0,167800.0,Working,Higher education,Separated,House / apartment,-19431,-7209,1,0,0,0,,1.0
5010320,F,N,Y,0,206600.0,Working,Secondary / secondary special,Married,Co-op apartment,-22847,-3625,1,1,0,0,Laborers,2.0
5010321,F,N,Y,2,127500.0,Pensioner,Incomplete higher,Married,House / apartment,-17778,365243,1,0,0,0,,4.0
5010322,M,N,N,1,577600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9082,-510,1,0,0,1,,3.0
5010323,F,Y,N,0,513300.0,Working,Higher education,Married,House / apartment,-9873,-559,1,0,0,0,Managers,2.0
5010324,M,Y,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,-21719,-4439,1,0,1,0,Managers,2.0
5010325,F,Y,Y,1,218300.0,State servant,Secondary / secondary special,Married,Co-op apartment,-11489,-3150,1,0,0,0,High skill tech staff,3.0
5010326,F,N,Y,1,221200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17697,365243,1,0,1,0,,3.0
5010327,M,Y,Y,0,356600.0,Working,Secondary / secondary special,Married,House / apartment,-15123,-4365,1,0,0,0,High skill tech staff,2.0
5010328,F,Y,Y,0,587900.0,Student,Higher education,Married,House / apartment,-12850,-5104,1,0,0,0,Laborers,2.0
5010329,M,N,N,0,183600.0,Working,Secondary / secondary special,Married,House / apartment,-21677,-6894,1,0,0,0,Laborers,2.0
5010330,M,Y,Y,0,139600.0,Working,Secondary / secondary special,Married,House / apartment,-20659,-6907,1,0,0,0,Drivers,2.0
5010331,M,N,N,0,529300.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-19105,-7183,1,1,0,1,Core staff,2.0
5010332,F,Y,Y,0,99900.0,Working,Secondary / secondary special,Married,House / apartment,-14111,-3382,1,1,1,0,Sales staff,2.0
5010333,F,N,Y,2,147400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11441,-2269,1,1,0,1,,4.0
5010334,M,N,N,1,215800.0,State servant,Secondary / secondary special,Married,House / apartment,-16727,-10095,1,0,0,0,Sales staff,3.0
5010335,F,N,Y,0,111900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22227,365243,1,0,0,0,,2.0
5010336,F,N,N,0,425700.0,Working,Secondary / secondary special,Married,House / apartment,-17818,-5333,1,0,0,0,,2.0
5010337,M,Y,Y,0,374700.0,Working,Higher education,Married,With parents,-25022,-2601,1,0,1,0,Laborers,2.0
5010338,F,Y,Y,0,183200.0,Working,Secondary / secondary special,Married,House / apartment,-7587,-550,1,1,0,0,Laborers,2.0
5010339,M,Y,N,0,462900.0,Working,Secondary / secondary special,Married,House / apartment,-25537,-12733,1,1,0,0,Drivers,2.0
5010340,M,N,N,0,503900.0,Working,Secondary / secondary special,Married,House / apartment,-19932,-3857,1,0,0,0,Laborers,2.0
5010341,F,N,Y,0,230700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22512,-9407,1,1,1,0,,1.0
5010342,M,N,Y,0,194900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13422,-953,1,0,0,0,,2.0
5010343,F,N,N,1,755600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16589,-8626,1,1,0,0,,3.0
5010344,F,Y,N,0,350100.0,Working,Higher education,Separated,House / apartment,-21860,-12737,1,0,1,0,Sales staff,1.0
5010345,M,N,Y,0,277500.0,Working,Higher education,Married,House / apartment,-21196,-590,1,0,1,0,,2.0
5010346,F,N,N,1,482700.0,Working,Secondary / secondary special,Married,House / apartment,-13405,-2910,1,0,1,0,,3.0
5010347,M,Y,Y,0,283900.0,Working,Secondary / secondary special,Married,House / apartment,-13230,-6037,1,1,1,0,Core staff,2.0
5010348,F,N,Y,0,189600.0,Working,Secondary / secondary special,Married,House / apartment,-19410,-10065,1,0,0,0,Medicine staff,2.0
5010349,F,Y,Y,0,254100.0,Working,Incomplete higher,Married,House / apartment,-24356,-5257,1,1,0,0,Core staff,2.0
5010350,F,N,Y,3,410400.0,Commercial associate,Incomplete higher,Married,House / apartment,-15318,-5933,1,0,0,0,,5.0
5010351,F,N,N,0,90200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13751,365243,1,1,1,0,,2.0
5010352,M,Y,Y,0,211400.0,Working,Secondary / secondary special,Separated,House / apartment,-23644,-7935,1,1,1,0,Medicine staff,1.0
5010353,F,N,N,0,487500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19779,-10457,1,0,0,0,Core staff,2.0
5010354,F,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,-14396,-1260,1,1,0,0,,2.0
5010355,F,N,N,0,528900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8351,365243,1,0,0,0,,2.0
5010356,F,N,N,0,495300.0,Working,Secondary / secondary special,Married,House / apartment,-20481,-12722,1,1,1,1,Laborers,2.0
5010357,F,Y,Y,2,236300.0,Working,Secondary / secondary special,Married,House / apartment,-13750,-5701,1,0,0,0,,4.0
5010358,M,N,Y,2,183700.0,Working,Secondary / secondary special,Separated,House / apartment,-8594,-1352,1,0,0,0,,3.0
5010359,M,N,Y,0,211500.0,Working,Secondary / secondary special,Married,House / apartment,-18487,-11026,1,0,0,0,Core staff,2.0
5010360,F,Y,N,0,925200.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-13204,-5623,1,0,0,0,,1.0
5010361,F,Y,N,0,623200.0,State servant,Secondary / secondary special,Married,House / apartment,-13486,-2907,1,0,1,0,Managers,2.0
5010362,F,N,Y,1,259900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16056,365243,1,0,0,0,,3.0
5010363,F,N,N,0,180100.0,Working,Secondary / secondary special,Married,House / apartment,-20408,-7446,1,1,1,0,Core staff,2.0
5010364,F,Y,Y,0,258800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12351,-5592,1,0,0,1,Core staff,2.0
5010365,M,Y,Y,1,275800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8783,-585,1,0,0,1,,3.0
5010366,F,Y,N,1,131100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15056,365243,1,1,1,0,,3.0
5010367,M,N,Y,0,254100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8308,-772,1,1,1,0,,2.0
5010368,F,Y,N,2,472900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20039,-1091,1,0,1,0,High skill tech staff,4.0
5010369,F,Y,Y,2,99300.0,Commercial associate,Higher education,Single / not married,House / apartment,-24823,-724,1,0,0,0,,3.0
5010370,F,N,Y,0,369100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19336,-8082,1,0,1,0,Drivers,2.0
5010371,M,N,Y,0,485500.0,Working,Secondary / secondary special,Married,House / apartment,-12334,-5012,1,0,1,0,,2.0
5010372,F,Y,Y,4,184500.0,Working,Higher education,Married,House / apartment,-10623,-1348,1,0,0,0,,6.0
5010373,F,N,N,0,569500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11556,-417,1,0,0,1,,2.0
5010374,F,N,Y,0,172900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-11352,365243,1,0,0,0,,1.0
5010375,M,Y,Y,0,304400.0,Working,Secondary / secondary special,Married,House / apartment,-13036,-3123,1,0,1,0,Sales staff,2.0
5010376,F,Y,Y,1,209400.0,State servant,Secondary / secondary special,Separated,House / apartment,-9083,-294,1,0,0,0,Laborers,2.0
5010377,F,N,Y,1,209400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-23663,-5957,1,0,0,0,Managers,3.0
5010378,M,Y,N,0,179300.0,Working,Higher education,Married,House / apartment,-23470,-11769,1,0,0,0,,2.0
5010379,M,N,Y,3,346200.0,Working,Secondary / secondary special,Married,House / apartment,-18541,-1076,1,1,0,0,Laborers,5.0
5010380,M,N,Y,1,373200.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-8436,-443,1,1,1,0,Laborers,2.0
5010381,F,Y,N,1,236400.0,Working,Incomplete higher,Civil marriage,House / apartment,-21988,-6967,1,0,1,0,,3.0
5010382,F,Y,Y,0,123700.0,Working,Secondary / secondary special,Married,House / apartment,-8433,-1362,1,1,1,0,Managers,2.0
5010383,F,N,N,0,298700.0,Working,Secondary / secondary special,Separated,House / apartment,-9249,-1580,1,0,1,0,,1.0
5010384,M,N,Y,0,301500.0,Working,Higher education,Separated,House / apartment,-13246,-2648,1,0,0,1,Core staff,1.0
5010385,F,N,Y,0,219100.0,Pensioner,Higher education,Married,House / apartment,-15185,365243,1,0,1,0,,2.0
5010386,F,N,N,0,621000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13768,365243,1,0,0,0,,1.0
5010387,F,Y,N,1,111700.0,Pensioner,Higher education,Married,House / apartment,-10323,365243,1,1,1,0,,3.0
5010388,F,N,Y,0,80600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9353,365243,1,0,0,0,,2.0
5010389,M,N,Y,1,169400.0,Working,Higher education,Married,House / apartment,-23000,-581,1,0,0,0,Cleaning staff,3.0
5010390,F,N,Y,0,348300.0,Commercial associate,Higher education,Married,House / apartment,-13938,-2635,1,0,0,0,HR staff,2.0
5010391,F,Y,Y,0,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11297,-3566,1,0,1,0,Accountants,1.0
5010392,F,Y,N,0,149500.0,Working,Secondary / secondary special,Married,House / apartment,-16199,-2172,1,0,0,0,Laborers,2.0
5010393,F,N,Y,0,392800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7977,-937,1,0,0,0,,2.0
5010394,F,N,Y,0,307700.0,Commercial associate,Higher education,Civil marriage,Rented apartment,-18268,-11493,1,0,0,1,Security staff,2.0
5010395,F,Y,N,1,294800.0,Working,Higher education,Married,Rented apartment,-11843,-4066,1,0,0,0,,3.0
5010396,M,Y,Y,0,360800.0,Working,Secondary / secondary special,Married,House / apartment,-18230,-8456,1,0,1,0,Sales staff,2.0
5010397,M,N,Y,0,197400.0,Pensioner,Higher education,Married,Municipal apartment,-18520,365243,1,0,0,0,,2.0
5010398,F,N,N,0,202000.0,Commercial associate,Higher education,Married,House / apartment,-22083,-14010,1,0,0,0,Laborers,2.0
5010399,F,Y,N,0,366000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11504,-1366,1,0,0,0,,2.0
5010400,M,Y,Y,0,124600.0,Working,Higher education,Married,House / apartment,-15769,-8111,1,0,0,0,,2.0
5010401,M,Y,Y,0,83600.0,Working,Secondary / secondary special,Married,House / apartment,-24871,-17877,1,0,0,0,,2.0
5010402,M,N,Y,0,196600.0,Working,Secondary / secondary special,Married,House / apartment,-20584,-11570,1,0,0,0,,2.0
5010403,F,N,Y,1,388800.0,Working,Higher education,Married,House / apartment,-25117,-7918,1,0,0,0,,3.0
5010404,M,N,Y,0,277400.0,Working,Higher education,Married,Municipal apartment,-24241,-3571,1,0,1,0,,2.0
5010405,M,N,N,1,374800.0,Working,Secondary / secondary special,Married,House / apartment,-18459,-10729,1,0,0,1,Cleaning staff,3.0
5010406,M,Y,N,0,89100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12125,365243,1,0,0,0,,2.0
5010407,F,N,N,2,285800.0,Working,Higher education,Married,House / apartment,-21128,-7587,1,0,0,1,Laborers,4.0
5010408,M,N,Y,0,338500.0,Commercial associate,Higher education,Married,House / apartment,-20054,-768,1,0,0,0,,2.0
5010409,F,Y,N,0,124300.0,Working,Secondary / secondary special,Married,House / apartment,-18060,-59,1,0,0,0,Sales staff,2.0
5010410,M,Y,Y,0,375700.0,Working,Secondary / secondary special,Married,House / apartment,-20049,-6250,1,0,0,0,Sales staff,2.0
5010411,F,N,Y,4,230900.0,Working,Higher education,Single / not married,With parents,-18511,-4086,1,0,1,0,Sales staff,5.0
5010412,M,N,Y,0,1133900.0,Commercial associate,Higher education,Married,Rented apartment,-16790,-77,1,0,0,0,Sales staff,2.0
5010413,F,Y,Y,0,82200.0,Working,Higher education,Married,House / apartment,-14901,-7606,1,0,0,0,,2.0
5010414,F,N,N,0,484100.0,Working,Higher education,Civil marriage,House / apartment,-8121,-486,1,1,0,0,Laborers,2.0
5010415,F,N,Y,0,200500.0,Working,Secondary / secondary special,Separated,House / apartment,-23115,-5434,1,1,1,0,Medicine staff,1.0
5010416,F,Y,Y,0,108800.0,Working,Lower secondary,Married,House / apartment,-23112,-4517,1,1,0,0,Laborers,2.0
5010417,M,Y,N,0,187600.0,Working,Higher education,Married,House / apartment,-18154,-7867,1,1,1,0,,2.0
5010418,M,Y,Y,0,280500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12197,-3279,1,1,1,1,,2.0
5010419,F,N,N,0,410100.0,Working,Higher education,Separated,House / apartment,-7819,365243,1,1,0,0,,1.0
5010420,F,Y,Y,0,577500.0,Commercial associate,Higher education,Married,House / apartment,-7331,-720,1,0,1,0,,2.0
5010421,F,Y,Y,0,497000.0,State servant,Higher education,Separated,House / apartment,-8636,-238,1,0,1,0,,1.0
5010422,F,N,N,0,150700.0,Working,Secondary / secondary special,Married,House / apartment,-13877,-7044,1,0,0,0,Managers,2.0
5010423,F,N,Y,2,429600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10746,365243,1,0,0,0,,4.0
5010424,F,Y,Y,0,296900.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12146,-3905,1,0,1,0,,1.0
5010425,M,N,Y,1,176000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20083,365243,1,1,0,0,,2.0
5010426,F,N,Y,0,219600.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24821,-6150,1,1,0,0,Core staff,1.0
5010427,F,N,Y,2,171200.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-11081,365243,1,0,1,0,,4.0
5010428,M,N,Y,0,248700.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15809,365243,1,0,1,0,,1.0
5010429,F,Y,Y,0,169500.0,Working,Higher education,Married,House / apartment,-25412,-6912,1,0,0,0,Managers,2.0
5010430,M,N,N,0,146000.0,Working,Secondary / secondary special,Married,House / apartment,-24320,-14396,1,0,0,0,Medicine staff,2.0
5010431,F,N,Y,1,310200.0,State servant,Secondary / secondary special,Married,House / apartment,-13739,-3924,1,0,1,0,Core staff,3.0
5010432,M,N,Y,0,334300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13143,-3063,1,1,1,0,Sales staff,2.0
5010433,F,N,Y,0,222300.0,Working,Secondary / secondary special,Married,House / apartment,-11728,-2798,1,1,1,0,,2.0
5010434,F,N,N,0,483700.0,Pensioner,Higher education,Married,House / apartment,-10143,365243,1,0,0,0,,2.0
5010435,M,Y,N,0,214300.0,Working,Secondary / secondary special,Married,House / apartment,-15707,-2457,1,0,0,0,Managers,2.0
5010436,F,N,N,0,209800.0,Working,Secondary / secondary special,Married,House / apartment,-13535,-4822,1,0,0,0,Core staff,2.0
5010437,F,N,N,0,339700.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-20908,-8890,1,0,0,0,Managers,1.0
5010438,F,N,Y,0,228500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11631,-2758,1,0,1,0,Cleaning staff,2.0
5010439,M,Y,Y,0,254700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20752,365243,1,1,0,0,,2.0
5010440,F,N,Y,1,69200.0,Working,Secondary / secondary special,Married,House / apartment,-12567,-1412,1,0,0,0,Cleaning staff,3.0
5010441,M,N,Y,0,246200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18130,365243,1,0,0,0,,2.0
5010442,F,Y,Y,0,97900.0,Working,Secondary / secondary special,Married,House / apartment,-18964,-3068,1,1,0,0,Laborers,2.0
5010443,F,N,Y,1,132600.0,Commercial associate,Higher education,Married,House / apartment,-19573,-5926,1,0,0,0,,3.0
5010444,F,N,N,0,125200.0,Working,Secondary / secondary special,Married,House / apartment,-10507,-3786,1,0,0,1,,2.0
5010445,F,N,N,0,145000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12468,-3977,1,0,0,0,Core staff,1.0
5010446,F,N,Y,1,185500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-11800,365243,1,0,0,0,,2.0
5010447,F,N,N,0,191400.0,Working,Secondary / secondary special,Married,House / apartment,-17827,-2217,1,0,0,0,Core staff,2.0
5010448,M,Y,Y,0,340300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8688,365243,1,0,0,1,,2.0
5010449,F,N,Y,2,272800.0,Working,Secondary / secondary special,Married,House / apartment,-16770,-5573,1,0,0,0,Cooking staff,4.0
5010450,M,N,Y,2,94400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8902,-1545,1,1,1,0,,3.0
5010451,F,N,Y,0,254500.0,Working,Secondary / secondary special,Married,House / apartment,-13460,-2380,1,0,0,0,,2.0
5010452,F,N,Y,0,286200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19846,-395,1,0,0,0,Laborers,2.0
5010453,F,N,N,0,207100.0,Working,Secondary / secondary special,Married,House / apartment,-14839,-266,1,0,0,0,,2.0
5010454,M,Y,Y,0,236800.0,Commercial associate,Higher education,Married,House / apartment,-12425,-563,1,0,1,0,,2.0
5010455,M,N,Y,0,268500.0,Commercial associate,Secondary / secondary special,Married,With parents,-18552,-7525,1,1,0,0,,2.0
5010456,M,Y,Y,0,357800.0,Working,Secondary / secondary special,Married,House / apartment,-20824,-12128,1,1,0,0,Managers,2.0
5010457,F,Y,Y,2,111100.0,Working,Higher education,Single / not married,Municipal apartment,-11954,-668,1,0,1,0,,3.0
5010458,M,Y,N,1,216100.0,Working,Secondary / secondary special,Married,House / apartment,-12773,-6063,1,0,1,0,Laborers,3.0
5010459,F,N,Y,0,519000.0,State servant,Secondary / secondary special,Married,House / apartment,-18998,-7699,1,0,1,0,,2.0
5010460,F,Y,N,0,495700.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-24932,-7190,1,1,0,0,Managers,2.0
5010461,M,Y,N,0,373600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11211,-1652,1,0,0,0,Drivers,2.0
5010462,F,Y,Y,0,319300.0,Working,Secondary / secondary special,Married,House / apartment,-19253,-12204,1,0,0,0,Cooking staff,2.0
5010463,F,Y,Y,0,558400.0,Commercial associate,Higher education,Married,House / apartment,-23862,-5920,1,0,0,0,Laborers,2.0
